t_klinik;klinik_name;Straße;Nr;PLZ;Ort;Bundesland;Latitude;Longitude
1;Paracelsus-Klinik Henstedt-Ulzburg;Wilstedter Str.;134;24558;Henstedt-Ulzburg;Schleswig-Holstein;53.7490391648204;10.007967224795824
2;Universitätsklinikum Magdeburg A.ö.R.;Leipziger Str.;44;39120;Magdeburg;Sachsen-Anhalt;52.10191929806027;11.619208346954986
3;Krankenhaus der barmherzigen Brüder Trier;Nordallee;1;54292;Trier;Niedersachsen;49.76311783215606;6.639340530825829
8;Universitätsmedizin Göttingen;Robert-Koch-Straße;40;37075;Göttingen;Niedersachsen;51.550680935909526;9.943030935141309
9;Universitätsklinikum Aachen;Pauwelsstraße;30;52074;Aachen;Nordrhein-Westfalen;50.776303411274604;6.043878273189144
10;Pius Hospital Oldenburg;Georgstraße;12;26121;Oldenburg;Niedersachsen;53.143910263695076;8.210421426665315
11;Ostalb-Klinikum Aalen;Im Kälblesrain;1;73430;Aalen;Baden-Wuertemberg;48.84860383198003;10.085705890614744
12;Klinikum Fürth;Jakob-Henle-Straße;1;90766;Fürth;Bayern;49.484708935448765;10.975117817119349
13;Klinikum Wolfsburg;Sauerbruchstraße;7;38440;Wolfsburg;Niedersachsen;52.41333825805419;10.768890628858315
14;Universitätsklinikum Jena;Am Klinikum;1;7747;Jena;Thueringen;50.88548426091337;11.621911113378474
15;Katharinenhospital Stuttgart;Kriegsbergstraße;60;70174;Stuttgart;Baden-Wuerttemberg;48.78380378038847;9.173535085002793
16;Klinikum Chemnitz gGmbH;Flemmingstraße;2;9116;Chemnitz;Sachsen;50.8440411819168;12.888116888555087
18;Klinikum Memmingen;Bismarckstraße;23;87700;Memmingen;Bayern;47.98297619975803;10.169397040403366
19;Helios Klinikum Berlin-Buch;Schwanebecker Ch;50;13125;Berlin;Berlin;52.63136821475237;13.511103555780863
20;Klinikum Aschaffenburg-Alzenau;Am Hasenkopf;1;63739;Aschaffenburg;Bayern;49.97745914463385;9.18779820399822
22;Evangelisches Krankenhaus Oldenburg;Steinweg;13;26122;Oldenburg;Niedersachsen;53.142953152041265;8.205660826598372
23;Universitätsklinikum Augsburg;Stenglinstraße;2;86156;Augsburg;Bayern;48.38479344118411;10.840253420378058
24;Elblandklinikum Riesa;Weinbergstraße;8;1589;Riesa;Sachsen;51.29651311292769;13.309536157864452
25;Universitätsklinikum Schleswig-Holstein Campus Lübeck;Ratzeburger Allee;160;23562;Lübeck;Nordrhein-Westfalen;53.83532329581266;10.706810786592095
26;Elblandklinikum Meißen;Nassauweg;7;1662;Meißen;Sachsen;51.17370207486108;13.505316728874792
27;Universitätsklinikum Regensburg;Franz-Josef-Strauß-Allee;11;93053;Regensburg;Bayern;48.9877997846429;12.090411886269427
28;Klinikum rechts der Isar der Technischen Universität München;Ismaninger Str.;22;81675;München;Bayern;48.137327355466766;11.59895886260311
29;Universitätsklinikum Schleswig-Holstein Campus Kiel;Arnold-Heller-Str;3;24105;Kiel;Schleswig-Holstein;54.329695171344795;10.142498784554343
30;Ludwig-Maximilians-Universität Klinikum Großhadern;Marchioninistraße;15;81377;München;Nordrhein-Westfalen;48.11151810688942;11.470284371140414
31;Universitätsklinikum Freiburg;Hugstetter Str.;55;79106;Freiburg im Breisgau;Baden-Wuerttemberg;48.0063076788712;7.836429273328444
32;Klinikum Oldenburg;Rahel-Straus-Straße;10;26133;Oldenburg;Niedersachsen;53.11217074172562;8.216333179477532
33;Universitätsmedizin Essen;Hufelandstraße;55;45147;Essen;Nordrhein-Westfalen;51.43537776445662;6.987849717622832
34;Universitätsklinikum Leipzig;Liebigstraße;18;4103;Leipzig;Sachsen;51.330907716817066;12.386227392761295
35;Campus Charite Mitte;Charitépl.;1;10117;Berlin;Berlin;52.52689023076799;13.37668939999751
36;Charite Campus Virchow-Klinikum Kindernotaufnahme;Mittelallee;8;13353; Berlin;Berlin;52.54234562561392;13.342144471131006
37;Uniklinik Köln;Kerpener Str.;62;50937;Köln;Nordrhein-Westfalen;50.924505157506594;6.919439142267136
38;Ludwig-Maximilians-Universität Klinikum Innenstadt;Ziemssenstraße;5;80336;München;Bayern;48.13256101381117;11.561440062776002
39;Städtische Klinikum Braunschweig gGmbH;Salzdahlumer Str.;90;38126;Braunschweig;Niedersachsen;52.238149032887534;10.54623707113682
40;Universitätsklinikum Münster;Albert-Schweitzer-Campus;1;48149;Münster;Nordrhein-Westfalen;51.96146468751014;7.597491588630001
41;Universitätsmedizin Greifswald;Fleichmannstraße;8;17475;Greifswald;Mecklenburg-Vorpommern;54.08887801349068;13.402380644282102
42;Evangelisches Krankenhaus Wesel GmbH;Schermbecker Landstraße;88;46485;Wesel;Nordrhein-Westfalen;51.66016808278029;6.655509284657861
43;Carl-von-Basedow-Klinikum Saalekreis gGmbH;Weiße Mauer;52;6217;Merseburg;Sachsen-Anhalt;51.366517862180324;11.993943871126046
